2014/12/23 10:42:17 [INFO] Preparing spawn for world...
2014/12/23 10:42:19 [INFO] Preparing spawn for world: 2%
2014/12/23 10:42:20 [INFO] Preparing spawn for world: 7%
2014/12/23 10:42:21 [INFO] Preparing spawn for world: 12%
2014/12/23 10:42:22 [INFO] Preparing spawn for world: 16%
2014/12/23 10:42:23 [INFO] Preparing spawn for world: 20%
2014/12/23 10:42:24 [INFO] Preparing spawn for world: 25%
2014/12/23 10:42:25 [INFO] Preparing spawn for world: 30%
2014/12/23 10:42:26 [INFO] Preparing spawn for world: 35%
2014/12/23 10:42:27 [INFO] Preparing spawn for world: 39%
2014/12/23 10:42:28 [INFO] Preparing spawn for world: 43%
2014/12/23 10:42:29 [INFO] Preparing spawn for world: 47%
2014/12/23 10:42:31 [INFO] Preparing spawn for world: 50%
2014/12/23 10:42:32 [INFO] Preparing spawn for world: 54%
2014/12/23 10:42:33 [INFO] Preparing spawn for world: 58%
2014/12/23 10:42:34 [INFO] Preparing spawn for world: 63%
2014/12/23 10:42:35 [INFO] Preparing spawn for world: 67%
2014/12/23 10:42:36 [INFO] Preparing spawn for world: 71%
2014/12/23 10:42:37 [INFO] Preparing spawn for world: 75%
2014/12/23 10:42:38 [INFO] Preparing spawn for world: 80%
2014/12/23 10:42:39 [INFO] Preparing spawn for world: 84%
2014/12/23 10:42:40 [INFO] Preparing spawn for world: 88%
2014/12/23 10:42:41 [INFO] Preparing spawn for world: 93%
2014/12/23 10:42:42 [INFO] Preparing spawn for world: 97%
2014/12/23 10:42:43 [INFO] Preparing spawn for world: done
2014/12/23 10:42:43 [INFO] Preparing spawn for world_nether...
2014/12/23 10:42:44 [INFO] Preparing spawn for world_nether: 4%
2014/12/23 10:42:45 [INFO] Preparing spawn for world_nether: 12%
2014/12/23 10:42:46 [INFO] Preparing spawn for world_nether: 19%
2014/12/23 10:42:47 [INFO] Preparing spawn for world_nether: 25%
2014/12/23 10:42:48 [INFO] Preparing spawn for world_nether: 32%
2014/12/23 10:42:49 [INFO] Preparing spawn for world_nether: 40%
2014/12/23 10:42:50 [INFO] Preparing spawn for world_nether: 47%
2014/12/23 10:42:51 [INFO] Preparing spawn for world_nether: 56%
2014/12/23 10:42:52 [INFO] Preparing spawn for world_nether: 62%
2014/12/23 10:42:53 [INFO] Preparing spawn for world_nether: 65%
2014/12/23 10:42:54 [INFO] Preparing spawn for world_nether: 73%
2014/12/23 10:42:55 [INFO] Preparing spawn for world_nether: 80%
2014/12/23 10:42:56 [INFO] Preparing spawn for world_nether: 88%
2014/12/23 10:42:57 [INFO] Preparing spawn for world_nether: 96%
2014/12/23 10:42:58 [INFO] Preparing spawn for world_nether: done
2014/12/23 10:42:58 [INFO] Preparing spawn for world_the_end...
2014/12/23 10:42:59 [INFO] Preparing spawn for world_the_end: 3%
2014/12/23 10:43:00 [INFO] Preparing spawn for world_the_end: 12%
2014/12/23 10:43:01 [INFO] Preparing spawn for world_the_end: 24%
2014/12/23 10:43:02 [INFO] Preparing spawn for world_the_end: 33%
2014/12/23 10:43:03 [INFO] Preparing spawn for world_the_end: 45%
2014/12/23 10:43:04 [INFO] Preparing spawn for world_the_end: 54%
2014/12/23 10:43:05 [INFO] Preparing spawn for world_the_end: 67%
2014/12/23 10:43:06 [INFO] Preparing spawn for world_the_end: 80%
2014/12/23 10:43:07 [INFO] Preparing spawn for world_the_end: 91%
2014/12/23 10:43:08 [INFO] Preparing spawn for world_the_end: done
2014/12/23 10:43:08 [INFO] Binding to address: 0.0.0.0/0.0.0.0:25565...
2014/12/23 10:43:10 [INFO] Ready for connections.
2014/12/23 10:45:13 [INFO] Preparing spawn for world...
2014/12/23 10:45:15 [INFO] Preparing spawn for world: 2%
2014/12/23 10:45:16 [INFO] Preparing spawn for world: 5%
2014/12/23 10:45:17 [INFO] Preparing spawn for world: 8%
2014/12/23 10:45:18 [INFO] Preparing spawn for world: 12%
2014/12/23 10:45:19 [INFO] Preparing spawn for world: 15%
2014/12/23 10:45:20 [INFO] Preparing spawn for world: 19%
2014/12/23 10:45:21 [INFO] Preparing spawn for world: 23%
2014/12/23 10:45:22 [INFO] Preparing spawn for world: 26%
2014/12/23 10:45:23 [INFO] Preparing spawn for world: 30%
2014/12/23 10:45:24 [INFO] Preparing spawn for world: 34%
2014/12/23 10:45:25 [INFO] Preparing spawn for world: 37%
2014/12/23 10:45:26 [INFO] Preparing spawn for world: 40%
2014/12/23 10:45:27 [INFO] Preparing spawn for world: 43%
2014/12/23 10:45:28 [INFO] Preparing spawn for world: 46%
2014/12/23 10:45:29 [INFO] Preparing spawn for world: 49%
2014/12/23 10:45:31 [INFO] Preparing spawn for world: 51%
2014/12/23 10:45:32 [INFO] Preparing spawn for world: 55%
2014/12/23 10:45:33 [INFO] Preparing spawn for world: 57%
2014/12/23 10:45:34 [INFO] Preparing spawn for world: 61%
2014/12/23 10:45:35 [INFO] Preparing spawn for world: 64%
2014/12/23 10:45:36 [INFO] Preparing spawn for world: 67%
2014/12/23 10:45:37 [INFO] Preparing spawn for world: 69%
2014/12/23 10:45:38 [INFO] Preparing spawn for world: 72%
2014/12/23 10:45:39 [INFO] Preparing spawn for world: 74%
2014/12/23 10:45:40 [INFO] Preparing spawn for world: 76%
2014/12/23 10:45:41 [INFO] Preparing spawn for world: 79%
2014/12/23 10:45:42 [INFO] Preparing spawn for world: 82%
2014/12/23 10:45:43 [INFO] Preparing spawn for world: 86%
2014/12/23 10:45:44 [INFO] Preparing spawn for world: 89%
2014/12/23 10:45:45 [INFO] Preparing spawn for world: 93%
2014/12/23 10:45:47 [INFO] Preparing spawn for world: 96%
2014/12/23 10:45:48 [INFO] Preparing spawn for world: 99%
2014/12/23 10:45:48 [INFO] Preparing spawn for world: done
2014/12/23 10:45:48 [INFO] Preparing spawn for world_nether...
2014/12/23 10:45:49 [INFO] Preparing spawn for world_nether: 4%
2014/12/23 10:45:50 [INFO] Preparing spawn for world_nether: 10%
2014/12/23 10:45:51 [INFO] Preparing spawn for world_nether: 17%
2014/12/23 10:45:52 [INFO] Preparing spawn for world_nether: 23%
2014/12/23 10:45:53 [INFO] Preparing spawn for world_nether: 29%
2014/12/23 10:45:54 [INFO] Preparing spawn for world_nether: 35%
2014/12/23 10:45:55 [INFO] Preparing spawn for world_nether: 41%
